Number,Name,Radius,Type,GM,Density,Mass,Mass 1e24
419,Aurelia,64.5,C,0.102,1.4,1.5286398545E+18,0.0000015286
451,Patientia,112.5,C,0.61,1.5,9.1418657964E+18,0.0000091419
488,Kreusa,75.1,C,0.164,1.4,2.4578130993E+18,0.0000024578
511,Davida,163,C,1.638,1.4,2.4548157663E+19,0.0000245482
532,Herculina,111.1,S,0.886,2.3,1.3278185403E+19,0.0000132782
554,Peraga,47.9,C,0.044,1.4,6.5941327056E+17,0.0000006594
654,Zelinda,63.7,Ch,0.09,1.2,1.3487998716E+18,0.0000013488
704,Interamnia,158.3,C,2.464,2.2,3.6927143151E+19,0.0000369271
747,Winchester,85.9,C,0.196,1.1,2.9373863870E+18,0.0000029374
12,Victoria,56.4,S,,3.452,2.5941596998E+18,0.0000025942
17,Thetis,45,S,,3.452,1.3176405076E+18,0.0000013176
26,Proserpina,47.5,S,,3.452,1.5496735668E+18,0.0000015497
32,Pomona,40.4,S,,3.452,9.5346222537E+17,0.0000009535
34,Circe,56.8,C,,1.093,8.3898419274E+17,0.0000008390
35,Leukothea,51.6,C,,1.093,6.2901047248E+17,0.0000006290
36,Atalante,52.8,C,,1.093,6.7392340408E+17,0.0000006739
37,Fides,54.2,S,,3.452,2.3022753094E+18,0.0000023023
38,Leda,58,C,,1.093,8.9329057524E+17,0.0000008933
39,Laetitia,74.8,S,,3.452,6.0515160565E+18,0.0000060515
40,Harmonia,53.8,S,,3.452,2.2516776826E+18,0.0000022517
43,Ariadne,32.9,S,,3.452,5.1492869041E+17,0.0000005149
44,Nysa,35.3,S,,3.452,6.3603865790E+17,0.0000006360
46,Hestia,62.1,C,,1.093,1.0964367200E+18,0.0000010964
47,Aglaja,63.5,C,,1.093,1.1722761980E+18,0.0000011723
48,Doris,110.9,C,,1.093,6.2445825296E+18,0.0000062446
49,Pales,74.9,C,,1.093,1.9237747683E+18,0.0000019238
50,Virginia,49.9,C,,1.093,5.6886656390E+17,0.0000005689
53,Kalypso,57.7,C,,1.093,8.7950074307E+17,0.0000008795
54,Alexandra,82.9,C,,1.093,2.6083890171E+18,0.0000026084
56,Melete,56.6,C,,1.093,8.3015285305E+17,0.0000008302
57,Mnemosyne,56.3,S,,3.452,2.5803854293E+18,0.0000025804
58,Concordia,46.7,C,,1.093,4.6629355518E+17,0.0000004663
59,Elpis,82.4,C,,1.093,2.5614766799E+18,0.0000025615
62,Erato,47.7,C,,1.093,4.9689417815E+17,0.0000004969
68,Leto,61.3,S,,3.452,3.3307406690E+18,0.0000033307
70,Panopaea,61.1,C,,1.093,1.0443171304E+18,0.0000010443
71,Niobe,41.7,S,,3.452,1.0484978911E+18,0.0000010485
72,Feronia,43.1,C,,1.093,3.6655621021E+17,0.0000003666
74,Galatea,59.4,C,,1.093,9.5955109682E+17,0.0000009596
75,Eurydike,27.8,M,,4.221,3.7987293234E+17,0.0000003799
76,Freia,91.8,C,,1.093,3.5419042364E+18,0.0000035419
77,Frigga,34.6,M,,4.221,7.3237288670E+17,0.0000007324
79,Eurynome,33.2,S,,3.452,5.2914372155E+17,0.0000005291
80,Sappho,39.2,S,,3.452,8.7099888170E+17,0.0000008710
81,Terpsichore,59.5,C,,1.093,9.6440547767E+17,0.0000009644
82,Alkmene,30.5,S,,3.452,4.1025975316E+17,0.0000004103
83,Beatrix,40.7,C,,1.093,3.0866827787E+17,0.0000003087
84,Klio,39.6,C,,1.093,2.8431143609E+17,0.0000002843
85,Io,77.4,C,,1.093,2.1229103446E+18,0.0000021229
86,Semele,60.3,C,,1.093,1.0038312412E+18,0.0000010038
87,Sylvia,130.5,C,,1.093,1.0175137959E+19,0.0000101751
88,Thisbe,116,C,,1.093,7.1463246019E+18,0.0000071463
89,Julia,75.7,S,,3.452,6.2725919281E+18,0.0000062726
90,Antiope,60,C,,1.093,9.8892310187E+17,0.0000009889
91,Aegina,54.9,C,,1.093,7.5757529672E+17,0.0000007576
92,Undina,63.2,M,,4.221,4.4632909299E+18,0.0000044633
93,Minerva,70.5,C,,1.093,1.6042650501E+18,0.0000016043
95,Arethusa,68,C,,1.093,1.4395790221E+18,0.0000014396
96,Aegle,85,C,,1.093,2.8116777775E+18,0.0000028117
99,Dike,36,C,,1.093,2.1360739000E+17,0.0000002136
100,Hekate,44.3,S,,3.452,1.2571021670E+18,0.0000012571
102,Miriam,41.5,C,,1.093,3.2722996160E+17,0.0000003272
103,Hera,45.6,S,,3.452,1.3710519928E+18,0.0000013711
104,Klymene,61.8,C,,1.093,1.0806229743E+18,0.0000010806
106,Dione,73.3,C,,1.093,1.8031036610E+18,0.0000018031
107,Camilla,111.3,C,,1.093,6.3123964113E+18,0.0000063124
109,Felicitas,44.7,C,,1.093,4.0891339824E+17,0.0000004089
110,Lydia,43,M,,4.221,1.4057540008E+18,0.0000014058
112,Iphigenia,36.1,C,,1.093,2.1539240078E+17,0.0000002154
113,Amalthea,23.1,S,,3.452,1.7823596262E+17,0.0000001782
114,Kassandra,49.8,C,,1.093,5.6545337365E+17,0.0000005655
115,Thyra,39.9,S,,3.452,9.1849772173E+17,0.0000009185
117,Lomia,74.4,C,,1.093,1.8855045202E+18,0.0000018855
118,Peitho,20.9,S,,3.452,1.3200739311E+17,0.0000001320
120,Lachesis,87.1,C,,1.093,3.0252636996E+18,0.0000030253
121,Hermione,104.5,C,,1.093,5.2246552967E+18,0.0000052247
124,Alkeste,38.2,S,,3.452,8.0602680548E+17,0.0000008060
127,Johanna,61,C,,1.093,1.0391979379E+18,0.0000010392
128,Nemesis,94.1,C,,1.093,3.8148515405E+18,0.0000038149
129,Antigone,56.5,M,,4.221,3.1889617117E+18,0.0000031890
130,Elektra,91.1,C,,1.093,3.4614965426E+18,0.0000034615
132,Aethra,21.3,M,,4.221,1.7086093231E+17,0.0000001709
134,Sophrosyne,54,C,,1.093,7.2092494126E+17,0.0000007209
137,Meliboea,72.7,C,,1.093,1.7591869871E+18,0.0000017592
140,Siwa,54.9,C,,1.093,7.5757529672E+17,0.0000007576
141,Lumen,65.5,C,,1.093,1.2865677807E+18,0.0000012866
143,Adria,45,C,,1.093,4.1720193360E+17,0.0000004172
144,Vibilia,70.9,C,,1.093,1.6317269135E+18,0.0000016317
146,Lucina,66.1,C,,1.093,1.3222487031E+18,0.0000013222
147,Protogeneia,66.5,C,,1.093,1.3463987729E+18,0.0000013464
148,Gallia,48.9,S,,3.452,1.6907756075E+18,0.0000016908
150,Nuwa,75.6,C,,1.093,1.9782180388E+18,0.0000019782
154,Bertha,92.5,C,,1.093,3.6235475896E+18,0.0000036235
156,Xanthippe,60.5,C,,1.093,1.0138527774E+18,0.0000010139
159,Aemilia,62.5,C,,1.093,1.1177606674E+18,0.0000011178
160,Una,40.6,C,,1.093,3.0639866731E+17,0.0000003064
162,Laurentia,49.6,C,,1.093,5.5866800598E+17,0.0000005587
163,Erigone,36.3,C,,1.093,2.1899219991E+17,0.0000002190
164,Eva,52.5,C,,1.093,6.6250121863E+17,0.0000006625
165,Loreley,77.6,C,,1.093,2.1394095743E+18,0.0000021394
168,Sibylla,74.2,C,,1.093,1.8703396774E+18,0.0000018703
171,Ophelia,58.3,C,,1.093,9.0722380126E+17,0.0000009072
172,Baucis,31.2,S,,3.452,4.3916040650E+17,0.0000004392
173,Ino,77.1,C,,1.093,2.0983208953E+18,0.0000020983
175,Andromache,50.5,C,,1.093,5.8963452591E+17,0.0000005896
176,Iduna,60.5,C,,1.093,1.0138527774E+18,0.0000010139
177,Irma,36.6,C,,1.093,2.2446675459E+17,0.0000002245
181,Eucharis,53,S,,3.452,2.1527173207E+18,0.0000021527
185,Eunike,78.8,C,,1.093,2.2402032540E+18,0.0000022402
191,Kolga,50.5,C,,1.093,5.8963452591E+17,0.0000005896
195,Eurykleia,42.9,C,,1.093,3.6147698212E+17,0.0000003615
196,Philomela,68.2,S,,3.452,4.5868286902E+18,0.0000045868
198,Ampella,28.6,S,,3.452,3.3826533625E+17,0.0000003383
200,Dynamene,64.2,C,,1.093,1.2114733235E+18,0.0000012115
201,Penelope,34.2,M,,4.221,7.0726518351E+17,0.0000007073
203,Pompeja,58.1,C,,1.093,8.9791901463E+17,0.0000008979
205,Martha,40.5,C,,1.093,3.0414020959E+17,0.0000003041
206,Hersilia,56.5,C,,1.093,8.2576051905E+17,0.0000008258
209,Dido,80,C,,1.093,2.3441140192E+18,0.0000023441
210,Isabella,43.3,C,,1.093,3.7168279672E+17,0.0000003717
211,Isolda,71.6,C,,1.093,1.6805360694E+18,0.0000016805
212,Medea,68.1,C,,1.093,1.4459394504E+18,0.0000014459
213,Lilaea,41.5,C,,1.093,3.2722996160E+17,0.0000003272
221,Eos,51.9,S,,3.452,2.0214428610E+18,0.0000020214
223,Rosa,43.8,C,,1.093,3.8470789832E+17,0.0000003847
224,Oceana,30.9,M,,4.221,5.2165022583E+17,0.0000005217
225,Henrietta,60.2,C,,1.093,9.9884533362E+17,0.0000009988
227,Philosophia,43.7,C,,1.093,3.8207892408E+17,0.0000003821
233,Asterope,51.4,C,,1.093,6.2172470972E+17,0.0000006217
236,Honoria,43.1,S,,3.452,1.1576871342E+18,0.0000011577
238,Hypatia,74.2,C,,1.093,1.8703396774E+18,0.0000018703
240,Vanadis,52,C,,1.093,6.4375231253E+17,0.0000006438
241,Germania,84.5,C,,1.093,2.7623512317E+18,0.0000027624
247,Eukrate,67.2,C,,1.093,1.3893657557E+18,0.0000013894
250,Bettina,39.9,M,,4.221,1.1231109164E+18,0.0000011231
259,Aletheia,89.3,C,,1.093,3.2603419196E+18,0.0000032603
266,Aline,54.5,C,,1.093,7.4113662945E+17,0.0000007411
268,Adorea,69.9,C,,1.093,1.5636526978E+18,0.0000015637
275,Sapientia,51.5,C,,1.093,6.2536051755E+17,0.0000006254
276,Adelheid,60.8,C,,1.093,1.0290097957E+18,0.0000010290
283,Emma,74,C,,1.093,1.8552563659E+18,0.0000018553
287,Nephthys,33.8,S,,3.452,5.5835382701E+17,0.0000005584
303,Josephina,49.6,C,,1.093,5.5866800598E+17,0.0000005587
304,Olga,33.9,C,,1.093,1.7836427211E+17,0.0000001784
308,Polyxo,70.3,C,,1.093,1.5906504267E+18,0.0000015907
313,Chaldaea,48.2,C,,1.093,5.1268414392E+17,0.0000005127
322,Phaeo,35.4,M,,4.221,7.8435694720E+17,0.0000007844
326,Tamara,46.5,C,,1.093,4.6032825200E+17,0.0000004603
328,Gudrun,61.5,S,,3.452,3.3634482009E+18,0.0000033634
329,Svea,38.9,C,,1.093,2.6949925889E+17,0.0000002695
334,Chicago,77.9,C,,1.093,2.1643183633E+18,0.0000021643
335,Roberta,44.5,C,,1.093,4.0344914942E+17,0.0000004034
336,Lacadiera,34.6,C,,1.093,1.8964310949E+17,0.0000001896
338,Budrosa,31.6,M,,4.221,5.5791136624E+17,0.0000005579
345,Tercidina,47.1,C,,1.093,4.7837832368E+17,0.0000004784
346,Hermentaria,53.3,S,,3.452,2.1894802066E+18,0.0000021895
347,Pariana,25.6,M,,4.221,2.9663600079E+17,0.0000002966
349,Dembowska,69.9,S,,3.452,4.9384529853E+18,0.0000049385
350,Ornamenta,59.2,C,,1.093,9.4989125933E+17,0.0000009499
356,Liguria,65.7,C,,1.093,1.2983891568E+18,0.0000012984
357,Ninina,53,C,,1.093,6.8161066961E+17,0.0000006816
358,Apollonia,44.7,C,,1.093,4.0891339824E+17,0.0000004089
360,Carlova,57.9,C,,1.093,8.8867806849E+17,0.0000008887
362,Havnia,49,C,,1.093,5.3863802783E+17,0.0000005386
363,Padua,48.5,C,,1.093,5.2231679060E+17,0.0000005223
365,Corduba,53,C,,1.093,6.8161066961E+17,0.0000006816
366,Vincentina,46.9,C,,1.093,4.7231017249E+17,0.0000004723
369,Aeria,30,M,,4.221,4.7738385327E+17,0.0000004774
373,Melusina,47.9,C,,1.093,5.0317066247E+17,0.0000005032
375,Ursula,108,C,,1.093,5.7673995301E+18,0.0000057674
377,Campania,45.5,C,,1.093,4.3126375625E+17,0.0000004313
381,Myrrha,60.3,C,,1.093,1.0038312412E+18,0.0000010038
385,Ilmatar,45.8,S,,3.452,1.3891713898E+18,0.0000013892
386,Siegena,82.5,C,,1.093,2.5708137668E+18,0.0000025708
387,Aquitania,50.3,S,,3.452,1.8401929033E+18,0.0000018402
388,Charybdis,57.1,C,,1.093,8.5234829351E+17,0.0000008523
389,Industria,39.5,S,,3.452,8.9114973693E+17,0.0000008911
393,Lampetia,48.4,C,,1.093,5.1909262201E+17,0.0000005191
404,Arsinoe,48.8,C,,1.093,5.3206934420E+17,0.0000005321
407,Arachne,47.5,C,,1.093,4.9067010675E+17,0.0000004907
410,Chloris,61.8,C,,1.093,1.0806229743E+18,0.0000010806
412,Elisabetha,45.5,C,,1.093,4.3126375625E+17,0.0000004313
415,Palatia,38.2,C,,1.093,2.5521068899E+17,0.0000002552
416,Vaticana,42.7,S,,3.452,1.1257527627E+18,0.0000011258
420,Bertholda,70.6,C,,1.093,1.6111013977E+18,0.0000016111
423,Diotima,104.4,C,,1.093,5.2096706348E+18,0.0000052097
424,Gratia,43.6,C,,1.093,3.7946195428E+17,0.0000003795
426,Hippo,63.5,C,,1.093,1.1722761980E+18,0.0000011723
